Year,State,DO,PH,BOD,Nitrate,Conductivity,Water Quality
2014,UTTAR PRADESH,7.5,8.0,3.4,0.4,478.0,113.24347753226405
2014,UTTAR PRADESH,7.1,8.1,2.8,0.3,438.0,110.70519273634734
2014,UTTAR PRADESH,9.2,7.7,2.7,0.7,187.0,68.9750185750513
2014,UTTAR PRADESH,7.7,8.1,2.9,0.3,488.0,114.04947121674661
2014,UTTAR PRADESH,7.5,8.1,3.4,0.4,529.0,121.0113216956599
2014,BIHAR,8.6,8.2,2.2,0.0,260.0,90.39343170034404
2014,UTTAR PRADESH,7.6,8.1,2.4,0.6,286.0,93.48806149149587
2014,UTTAR PRADESH,7.9,8.1,2.3,0.6,281.0,91.65176927363474
2014,BIHAR,8.1,8.1,1.9,0.0,232.0,84.47876084217667
2014,BIHAR,8.2,7.6,2.1,0.0,250.0,70.97926055143674
2014,BIHAR,8.3,8.0,2.2,0.0,252.0,84.15277474923681
2014,BIHAR,7.7,7.8,2.2,0.0,298.0,83.61166533410864
2014,BIHAR,8.6,8.1,2.0,0.0,238.0,84.14988854969229
2014,BIHAR,8.4,8.1,1.8,0.0,247.0,84.44021054416822
2014,BIHAR,7.9,8.0,2.1,0.0,302.0,89.23344296651645
2014,BIHAR,16.3,8.1,2.0,0.0,269.0,65.23151681445945
2014,BIHAR,8.0,7.4,2.0,0.0,346.0,73.2637677472501
2014,BIHAR,6.5,7.5,3.5,0.0,319.0,86.3668259679217
2014,BIHAR,4.2,7.3,7.1,0.0,418.0,114.86536318263315
2014,BIHAR,4.3,7.1,30.0,0.0,450.0,235.03030055240586
2014,BIHAR,8.0,8.0,2.4,0.0,290.0,89.49655352037603
2014,BIHAR,4.4,7.2,4.7,0.0,370.0,93.81432015312305
2014,BIHAR,8.1,8.1,1.8,0.0,228.0,83.57800007268499
2014,BIHAR,8.6,8.1,2.1,0.0,338.0,93.67981053447691
2014,BIHAR,7.9,7.8,2.2,0.0,319.0,84.93553144836943
2014,BIHAR,8.8,8.2,2.0,0.0,340.0,95.93821170712796
2014,BIHAR,5.6,7.4,3.5,0.0,330.0,86.70891481319961
2014,BIHAR,7.0,7.4,2.0,0.0,184.0,61.52087270436596
2014,BIHAR,7.1,7.6,2.0,0.0,211.0,70.03314738091775
2014,BIHAR,7.1,7.4,2.1,0.0,215.0,64.56670361486651
2014,BIHAR,7.8,7.8,2.4,0.0,326.0,86.92904734215244
2014,BIHAR,5.4,7.5,3.3,0.0,404.0,96.02550031496826
2014,BIHAR,7.7,7.8,2.3,0.0,333.0,87.29892607937201
2014,BIHAR,4.5,7.2,5.3,0.0,289.0,89.49885824005428
2014,BIHAR,7.3,7.8,2.8,0.0,288.0,87.08759449047827
2014,BIHAR,7.0,7.4,2.5,0.0,251.0,70.24937006347824
2014,BIHAR,2.1,6.9,8.6,0.0,461.0,120.0337954886854
2014,BIHAR,7.2,7.6,2.2,0.0,299.0,78.74375514851965
2014,BIHAR,2.1,7.2,11.0,0.0,457.0,142.21415116053694
2014,BIHAR,8.0,7.9,1.7,0.0,276.0,81.26604521005963
2014,BIHAR,8.4,7.9,2.0,0.0,306.0,84.45876944323304
2014,BIHAR,6.9,7.9,1.5,2.8,482.0,101.98739016491417
2014,BIHAR,7.9,7.8,2.2,0.0,300.0,83.22767662450939
2014,BIHAR,8.0,7.9,2.1,0.0,289.0,84.59942700004848
2014,BIHAR,2.1,7.3,9.7,0.0,432.0,136.11481501671756
2014,HIMACHAL PRADESH,8.9,7.1,0.3,0.3,133.0,32.84943002858942
2014,HIMACHAL PRADESH,7.9,7.5,0.6,1.5,295.0,64.66785688326792
2014,HIMACHAL PRADESH,7.7,7.7,1.1,0.3,302.0,74.85423935164995
2014,HIMACHAL PRADESH,7.5,7.7,1.4,0.3,348.0,81.17644582545914
2014,HIMACHAL PRADESH,7.9,7.3,0.7,1.5,242.0,54.077848645636465
2014,HIMACHAL PRADESH,8.1,7.6,1.1,0.4,508.0,89.0665077692171
2014,HIMACHAL PRADESH,7.9,7.6,1.4,0.3,467.0,87.56188217764209
2014,HIMACHAL PRADESH,9.3,6.9,0.2,0.3,82.0,20.2292454087319
2014,HIMACHAL PRADESH,9.3,6.9,0.3,0.4,86.0,21.136660892248564
2014,HIMACHAL PRADESH,9.0,7.0,0.3,0.3,163.0,32.08055918980472
2014,UTTAR PRADESH,4.337,7.5,49.1,6.8,706.0,374.49559624905106
2014,UTTAR PRADESH,1.1,7.4,75.6,0.6,1499.0,594.7256535591415
2014,UTTAR PRADESH,0.8,7.4,24.0,0.0,586.0,234.19886005717888
2014,MADHYA PRADESH,6.4,7.6,2.8,2.0,576.0,109.27790093844389
2014,MADHYA PRADESH,7.5,7.8,0.6,0.0,361.0,81.17891711489074
2014,MADHYA PRADESH,7.4,8.3,0.7,0.0,371.0,98.81889324998791
2014,UTTAR PRADESH,6.7,8.5,3.0,0.0,218.0,105.85442712119011
2014,UTTAR PRADESH,7.1,8.1,3.2,0.0,386.0,108.17594914474002
2014,MADHYA PRADESH,7.3,7.9,4.52,1.0,515.0,120.05096771979132
2014,MADHYA PRADESH,1.5,8.2,4.52,5.4,6485.0,682.8696691621844
2014,RAJASTHAN,5.6,7.8,0.8,0.6,317.0,83.70198551146
2014,MADHYA PRADESH,7.2,7.9,1.9,1.2,338.0,90.25637810728306
2014,RAJASTHAN,6.0,7.9,0.8,0.4,301.0,84.30655901213034
2014,RAJASTHAN,5.9,8.4,2.0,0.6,546.0,129.03664837427925
2014,RAJASTHAN,5.3,8.2,1.3,0.7,608.0,126.15190051041012
2014,MADHYA PRADESH,8.2,7.5,2.0,0.9,696.0,107.40398313708387
2014,MADHYA PRADESH,7.2,7.5,2.1,0.0,599.0,101.9850692930174
2014,MADHYA PRADESH,6.7,7.5,2.1,0.0,608.0,104.20346041091246
2014,RAJASTHAN,5.2,8.2,1.0,0.6,556.0,120.12936109899692
2014,MADHYA PRADESH,7.2,7.7,2.6,1.7,1165.0,162.0475622264218
2014,MADHYA PRADESH,0.0,7.3,40.0,45.5,1507.0,405.6782013697082
2014,MADHYA PRADESH,6.9,8.0,4.52,1.6,974.0,165.66020113550098
2014,MADHYA PRADESH,7.0,7.8,4.52,1.9,854.0,148.24462777212452
2014,MADHYA PRADESH,6.5,7.9,4.52,1.9,952.0,161.6465727011355
2014,RAJASTHAN,5.4,8.0,0.9,0.6,489.0,106.63474584484179
2014,RAJASTHAN,5.2,8.3,0.9,0.5,587.0,125.551596242994
2014,MADHYA PRADESH,8.1,7.5,1.8,0.8,708.0,107.67543025472048
2014,MADHYA PRADESH,5.4,7.6,5.2,3.3,607.0,127.95882395697049
2014,MADHYA PRADESH,8.4,7.5,2.1,0.9,811.0,117.71844866017346
2014,MADHYA PRADESH,7.6,8.0,0.6,0.0,345.0,85.82604666375927
2014,MADHYA PRADESH,6.6,7.8,3.9,1.8,865.0,146.99874012695642
2014,RAJASTHAN,6.2,7.7,1.2,0.5,404.0,88.80546671835376
2014,RAJASTHAN,5.7,8.1,0.8,0.6,388.0,99.35289467945923
2014,RAJASTHAN,2.4,8.2,7.3,0.9,1596.0,255.62096598342782
2014,RAJASTHAN,5.7,8.0,0.8,0.5,306.0,88.79189582626674
2014,RAJASTHAN,5.6,8.0,0.9,0.5,265.0,85.92961872688214
2014,WEST BENGAL,7.8,7.9,1.8,0.2,216.0,76.99110416565718
2014,WEST BENGAL,8.1,7.9,1.9,0.2,233.0,78.21475283067632
2014,WEST BENGAL,7.6,7.8,3.8,0.3,276.0,90.59539298347629
2014,WEST BENGAL,6.4,7.8,3.5,2.9,451.0,108.25759759978034
2014,WEST BENGAL,7.3,7.3,3.4,0.7,7088.0,685.6956932128378
2014,WEST BENGAL,8.4,7.9,2.9,0.3,291.0,88.0013386151088
2014,WEST BENGAL,8.2,7.7,2.6,0.2,192.0,71.66878260729113
2014,WEST BENGAL,7.1,7.2,2.1,0.5,479.0,81.96296599150394
2014,WEST BENGAL,7.0,7.5,1.3,0.6,1685.0,195.8764476425837
2014,WEST BENGAL,7.9,7.8,2.2,0.2,274.0,80.90392155675083
2014,WEST BENGAL,6.8,7.5,3.7,0.4,240.0,79.52914465926895
2014,WEST BENGAL,7.5,7.6,4.2,0.5,1490.0,195.81116340391856
2014,WEST BENGAL,7.4,7.3,1.9,0.3,188.0,57.048044773949705
2014,WEST BENGAL,6.5,7.8,3.8,0.5,391.0,104.04641440939413
2014,WEST BENGAL,2.9,7.7,6.4,0.9,563.0,140.56926576052723
2014,WEST BENGAL,3.4,7.8,5.3,0.5,539.0,134.20621537368157
2014,WEST BENGAL,2.2,7.6,7.4,0.6,534.0,142.1442675776518
2014,WEST BENGAL,7.1,7.5,2.1,91.8,144.0,67.47734954208461
2014,WEST BENGAL,8.6,7.3,2.6,0.2,207.0,59.15515417292565
2014,WEST BENGAL,7.2,7.5,2.3,0.7,160.0,63.65364192146791
2014,WEST BENGAL,6.0,7.5,4.0,0.5,356.0,93.84139127134111
2014,BIHAR,7.0,7.5,2.1,0.0,212.0,67.76252604545236
2014,WEST BENGAL,1.4,7.7,14.5,3.1,3448.0,448.10636639692467
2014,WEST BENGAL,2.7,7.6,9.1,2.4,10674.0,1061.5104090953143
2014,ASSAM,7.2,7.1,1.5,1.4,216.0,51.66979413997512
2014,ASSAM,7.7,7.2,1.4,1.5,256.0,56.50491532199448
2014,ASSAM,6.9,7.0,1.5,2.5,273.0,54.5286025504353
2014,ASSAM,7.5,7.0,1.3,1.7,298.0,53.948828762255495
2014,ASSAM,7.9,7.2,1.4,2.3,236.0,54.196648212757026
2014,ASSAM,6.0,7.3,1.1,1.9,295.0,66.38908069648366
2014,ASSAM,8.1,7.6,0.9,1.2,210.0,61.25096610456946
2014,ASSAM,7.3,7.1,1.6,0.4,168.0,47.54799732680783
2014,ASSAM,7.1,7.2,1.6,1.4,289.0,62.238248251522364
2014,ASSAM,5.1,7.0,1.5,1.4,253.0,57.73152489056873
2014,NAGALAND,6.2,8.5,14.0,1.3,274.0,171.91738544039026
2014,NAGALAND,7.1,8.5,15.0,1.9,200.0,168.18085941916624
2014,NAGALAND,6.1,8.0,11.0,0.9,210.0,134.2654909870621
2014,NAGALAND,6.3,7.0,34.0,22.2,190.0,225.9642662450938
2014,NAGALAND,6.7,8.5,15.0,2.8,319.0,180.0648420716836
2014,ASSAM,7.5,7.0,1.0,1.1,286.0,51.2066181696306
2014,NAGALAND,6.2,8.5,19.0,6.4,373.0,208.21621763499218
2014,NAGALAND,7.3,8.5,16.0,1.8,589.0,207.98864599990313
2014,NAGALAND,6.2,9.0,16.0,1.8,186.0,190.78285361244372
2014,ASSAM,8.7,6.8,1.0,1.3,164.0,30.503919941528967
2014,ASSAM,7.4,7.3,1.2,0.9,225.0,56.62530891117895
2014,ASSAM,8.5,7.4,1.1,1.0,346.0,67.04999616384814
2014,ASSAM,8.0,7.1,1.2,0.9,320.0,57.10608979018267
2014,ASSAM,7.8,7.3,0.9,1.1,304.0,60.98853596291451
2014,ASSAM,8.9,7.7,1.3,1.3,366.0,78.3734079969634
2014,ASSAM,6.8,6.9,3.7,4.4,266.0,63.03078410944745
2014,ASSAM,8.1,6.9,0.9,1.1,98.0,28.891740764969082
2014,ASSAM,5.2,6.9,1.7,1.5,240.0,54.18658840916802
2014,ASSAM,7.5,6.8,1.9,0.8,99.0,32.88147401108042
2014,ASSAM,5.6,7.5,1.3,3.2,701.0,111.54690806157225
2014,ASSAM,7.0,7.0,1.1,1.8,179.0,43.58590153607599
2014,ASSAM,5.6,6.4,2.8,8.4,330.0,51.64340141493436
2014,ASSAM,6.9,7.1,1.6,1.0,248.0,55.9064190935375
2014,ASSAM,5.8,6.9,2.0,1.4,290.0,58.606636946584636
2014,ASSAM,6.5,6.6,1.5,2.1,248.0,40.6479230266027
2014,ASSAM,6.3,6.8,1.6,1.8,202.0,43.96533229151524
2014,ASSAM,0.0,6.7,38.5,18.2,1065.0,336.9115686227004
2014,ASSAM,5.3,6.9,3.2,2.2,331.0,70.24920147469757
2014,ASSAM,5.8,6.9,1.4,1.5,174.0,44.93911421233708
2014,RAJASTHAN,5.6,8.1,0.9,0.7,481.0,108.54214315711263
2014,MADHYA PRADESH,7.4,7.9,1.3,1.1,520.0,102.79813764920613
2014,MADHYA PRADESH,7.4,7.7,1.8,1.0,503.0,97.60225969536917
2014,MADHYA PRADESH,7.4,7.8,4.52,1.3,333.0,100.24599667264299
